Comment,Cleaned_Text
demi apapun ini udah 3 tahun yang lalu? omaygatt ga nyangka ternyata udah lama banget ngikutin kakk naddd. dari khw masih eps 20 an sampe skrng ngulang ini cerita yg ke 3 kalinya 😔,apa omaygatt nyangka banget ngikutin kakk naddd eps an sampe skrng ngulang cerita kali
Trus gimana sekarang suaminya tau gak ya bahwa itu bukan anaknya?,gimana suami tau anak
"Aku suka cerita tpi,KO bisa iya begitu",suka cerita tpiko iya
"Kak,dari sekian cerita khw kenapa yg paling mebekas ini ya.malah aku baru nonton setelah 3 tahun dan dua hari sudah cerita ini membekas bgt",kakdari sekian cerita mebekas yamalah nonton cerita bekas banget
Apalah tiara😏,apa tiara
Kak tanggung jawab aku telat jemput ibuku pulang  kerja😭 dan sekarang aku dimarahin,kak tanggung telat jemput ibu pulang kerja dimarahin
Kak aku mau dong berbagi kisah horor,kak bagi kisah horor
jujur gw kasian ama lakiknya tapi kalo diceritain juga gakan percaya dia 😂 gimana kalo lakinya ngeuh ya kalo yangbdicerita ini istrinua apa ga syok ya,jujur gw kasi ama lakiknya kalo diceritain gakan percaya gimana kalo laki ngeuh kalo yangbdicerita istrinua syok
Seru bnget,seru bnget
"Gimana sih kirim cerita ke kk nadia omara?, gw pgn cerita tapi ga tau ke mana",gimana kirim cerita kakak nadia omara gw pgn cerita tau
"Jujur ya, aku kasihan sama suami nya, klo suami nya tau pasti kecewaan berat, kenapa Tiara g memilih untuk di ruqiah aja ya?",jujur kasihan suami kalo suami tau kecewa berat tiara g pilih ruqiah
"Dnger crita ini seketika teringat sama kejadian ku saat kuliah, saat itu masih kuliah sem""4 aku habis berduka ibuku meninggal, stelah itu aku jdi sring melamun"" larut"" ksedihan, dan ya aku prnh ngalami hal yang hmpir mirip dgn crita Tiara, aku selalu ktemu dimimpi TPI tiap malam Jumat dan stelah mimpi itu aku langsung ketindihan, bertemu dgn sosok yg ganteng kulit putih pdhl aku jg TDK prnh liat dia di dunia nyata, malah sangkin takutnya untk TDR saat malam Jumat itu, aku sama sekali ga tidur aku masih main hp telentang menghadap dinding, TPI dipaksa untk TDR tiba"" ada bayangan yg seolah menimpa ku dan spontan aja mataku merem sperti ketindihan pdhl sbelumnya aku ga tidur, tapi stiap dia dtng ke mimpiku selalu ada alm ibu atau alm kakek ku, seolah mreka menjaga ku agar ga mengiyakan stiap ajakan nya, Tiara mimpi berulang x tetapi aku mimpi seolah ber episode lanjutan dari mimpi Jumat lalu nya, aku mimpi seolah dari awal ketmu trs berlanjut untk lamaran dan terakhir aku hampir akad, disebrang ku ada kakeknya aku menatapnya dgn tatapan sedih TPI lagi dan lagi kakek ku menatapku sambil senyum seolah bilang  ""gapapa ndok jgn takut"", lalu saat aku terbangun akupun ketindihan dan itu jdi mimpi terakhir dari cerita yg berlanjut tiap malam jumatnya, aku crita ke ayahku tpi slalu anggap spele ga percaya, smpai aku pergi sndri ke sodaraku yg paham hal gtuan, diksih tangkal TPI dia tetap dtng ke mimpiku stiap maljum, dstu aku tkut bgt dibawa atau tkut jdi Gilak, Alhamdulillah atas izin Allah, nth knp pas aku buka tiktok lewat branda cara rukiah diri sndri dan katanya itu lbih manjur dripd di rukiah orglain, stelah aku lakukan itu percaya ga percaya dia ga dtng lgi di mimpi ku saat tiba dmna aku pas udh punya pcr dia dtng seolah ingin mencelakai pcrku Krn ga rela aku samanya, Tpi Alhamdulillah aku dan pcrku ttp sama"" walupun sbelumnya kmi putus Krn aku tkut dia knp"" perihal mmpiku, Krn kmi jg udh berkomitmen dan jgn smpe kalah sama hal sperti itu, percaya ga percaya itu aku alami dan itu kembali lgi dikita hrs yakin hanya kepada Allah SWT, cinta ga bole kalah sama hal sperti itu dan jgn prnh mengiyakan ajakannya, derajat kita jauh lbih tinggi dibanding makhluk itu. Maaf ya aku cuma mau membagikan critaku Krn cerita Tiara ini hampir mirip dgn mmpiku😁😁",dnger cerita jadi ku kuliah kuliah sem habis duka ibu tinggal stelah sring lamun larut ksedihan ngalami hmpir cerita tiara ktemu mimpi malam jumat stelah mimpi langsung tindih temu sosok ganteng kulit putih lihat dunia nyata sangkin takut untk tdr malam jumat tidur main hp telentang hadap dinding paksa untk tdr bayang timpa ku spontan mata merem sperti tindih sbelumnya tidur stiap dtng mimpi alm alm kakek ku mreka jaga ku iya stiap aja tiara mimpi ulang x mimpi ber episode lanjut mimpi jumat mimpi ketmu lanjut untk lamar akad disebrang ku kakek tatap tatap sedih kakek ku tatap senyum bilang gapapa ndok jgn takut bangun aku tindih mimpi cerita lanjut malam jumat cerita ayah slalu anggap spele percaya smpai pergi sodaraku paham gtuan diksih tangkal dtng mimpi stiap maljum dstu tkut banget bawa tkut gilak alhamdulillah izin allah nth pas buka tiktok branda rukiah lbih manjur dripd rukiah orglain stelah laku percaya percaya dtng mimpi ku dmna pas pcr dtng celaka pcrku rela sama alhamdulillah pcrku ttp walupun sbelumnya kmi putus tkut perihal mmpiku kmi komitmen jgn smpe kalah sperti percaya percaya alami kita hrs allah swt cinta bole kalah sperti jgn iya aja derajat lbih banding makhluk maaf bagi critaku cerita tiara mmpiku
"Bisa bisanya berhubungan badan, ga pikir suami nya apa?",bisa hubung badan pikir suami
Kenapa kakak gak bikin film aja kak? Pasti seru gila pakek bangett😭😭,kakak bikin film kak seru gila pakek bangett
"""DUNIA KITA BERBEDA""",dunia beda
"Emang harus di ruqiah, nauzubillah, dan harus lebih mendekatkan diri kepada Allah SWT, nauzubillahiminzalik 🙏🏻🙏🏻🙏🏻🙏🏻",emang ruqiah nauzubillah dekat allah swt nauzubillahiminzalik
jomblo yg keseringan dighosting pun lebih memilih makhluk ghaib drpd manusia klo beneran dia sesetia dan sesoft threat itu😅,jomblo sering dighosting pilih makhluk ghaib drpd manusia kalo beneran setia sesoft threat
berasa obseeed sumphhh cowk gaibnya,asa obseeed sumphhh cowk gaib
Coba ke psikoloh,coba psikoloh
Ini klo suaminya tau gimana perasaannya ya? Apalgi brani up ke nadia harusnya dia tau konsekuensi nya ga sih 😮,kalo suami tau gimana asa apalgi brani up nadia tau konsekuensi
untung setan nya cakep😭😭,untung setan cakep
Tidakk pernah ada mimpi yg bisa di ceritakan secara detil.. Mungkin ini hanya imajinasi si tiara 😂,tidakk mimpi cerita detil imajinasi si tiara
"Seruuu banget pliss❤

Ini kalo di bikin film bagus banget",seruuu banget tolong kalo bikin film bagus banget
"Part 2 ga sih,, aku blum move on loh dari kisah yg ini, aku ingin tahu berita terkininya tiara sama kekasih goibnya😊❤",blum move on loh kisah berita kini tiara kasih goibnya
Ehh kok nama ku😂,ehh nama ku
Ini mah cerita Lucifer si raja setan KA nadia,mah cerita lucifer si raja setan kakak nadia
Suaminya bukannya pernah mimpi laki² itu ya. Dia ngeh gak ya anak membarnya mirip laki² yg d mimpinya. Apa karena yg d mimpi suaminya lg dalam keadaan jelek,suami mimpi laki ngeh anak bar laki mimpi mimpi suami jelek
tayo,tayo
Tanya tiara dong kak part duanya😅,tiara kak dua
Diantara semua cerita cuman ini yang sangaaaatttt ku suka❤ kyk masuk dalam ceritanya wak,cerita cuman sangaaaatttt ku suka masuk cerita wak
tiara polos dari lahir,tiara polos lahir
mbak omara sangatnbaik dan sangat berpengaruhbdidalam berceritq terimankasihbmbak nadia❤❤❤,mbak omara sangatnbaik berpengaruhbdidalam berceritq terimankasihbmbak nadia
Saya hanya suka pmbawaan narator nya yg ekspresif jadi bikin penasaran bgmna endingnya nih cerita dan saya sangat puas mendengarkan sampai akhir,suka pmbawaan narator ekspresif bikin penasaran bgmna endingnya cerita puas dengar
"Menurut ku itu salah si Tiara juga, dalam 14 tahun selalu diganggu dalam mimpi itu aja udah ga wajar. Seharusnya si Tiara nyari orang pintar buat putusin hubungan dia dengan si pangeran itu.",ku salah si tiara ganggu mimpi wajar si tiara nyari orang pintar putusin hubung si pangeran
Mauduitgak,mauduitgak
"Istrinya gk waras lakinya gk waras neneknya gk waras, fyi aku ngetik gini bukan cuma asal ngetik ya
1. Kenapa aku bilang istrinya gk waras karna istrinya gk terbuka gk terus terang ke keluarganya 
2. Kenapa aku bilang suaminya gk waras ya karna dari awal istrinya sdh ngasih tau hal yg penting dari awal tapi mungkin kata suaminya itu spele tapi tdk buat istrinya
3. Kenapa aku bilang neneknya gk waras, iya ini yg paling gk waras, dari awal tiara di munculin sama laki"" Ini dia tdk berusaha ngomong sm suaminya(kakeknya tiara) sama ibunya tiara dan bpk tirinya tiara padahal aku Sima dari ceritanya kak Nadia kayaknya neneknya ini tau hal sesuatu dari sosok laki"" Ini, dan waktu tiara hilang di apart dan neneknya ngelarang suaminya buat ngelapor ke polisi karna tiara hilang itu sdh sangat""janggal
Intinya di sini pyur bukan kesalahan tiara tapi nenek dan suaminya tiara yg terlau menyepelekan sesuatu padahal kalau suaminya bisa berfikir dg jernih mimpinya dia dan tiara itu sangat"" Sinkron bgt, tdk mungkin tiara dan suaminya bisa mimpi hal yg serupa, kalau difikir secara logis jg tiara ini kyk menikmati kenapa dia tdk terbuka aja aja sih sama ibunya, dan dia gk buka mulut sampai sekarang, padahal kalau orang yg bnr"" Waras saat dia di bawa ke kehidupannya si cowok gk jelas ini dan di detik"" Dia mandi di air terjun sama pria ini sampai melakukan hal yg di luar nalar masak dia gk ngeh kalau dia ketemu dg keadaan basah kuyup gitu, padahal itu sangat"" Nyambung bgt sama mimpinya, dan aku berharap suaminya baca ini, biar istrinya di bawa ke pak ustad biar di ruqiah, dan suaminya bisa intropeksi karna dia tdk menanyakan dg tenang kepada istrinya soal mimpi yg serupa itu",istri waras laki waras nenek waras fyi ngetik gin ngetik bilang istri waras karna istri buka terang keluarga bilang suami waras karna istri sdh ngasih tau suami spele istri bilang nenek waras iya waras tiara munculin laki usaha ngomong suaminyakakeknya tiara ibu tiara bpk tiri tiara sima cerita kak nadia kayak nenek tau sosok laki tiara hilang apart nenek ngelarang suami ngelapor polisi karna tiara hilang sdh sangatjanggal inti pyur salah tiara nenek suami tiara terlau sepele suami berfikir dg jernih mimpi tiara sinkron banget tiara suami mimpi difikir logis tiara nikmat buka ibu buka mulut orang bnr waras bawa hidup si cowok detik mandi air terjun pria nalar masak ngeh ketemu dg basah kuyup nyambung banget mimpi harap suami baca biar istri bawa ustad biar ruqiah suami intropeksi karna dg tenang istri mimpi
"35:29 aku nonton ulang... Dan ya dlu pas aku umur 12 thn, mimpi 5 kali dengan cwo sama, bedanya aku langsung cerita ke orangtuaku, ga kek tiara yg diam malah cuma cerita ke kakeknya doang... 

Dlu aku langsung didoakan dan dibersihkan karena hey itu jin...
Malah tiara kena tipu daya jin hemmm",nonton ulang dlu pas umur mimpi kali cwo beda langsung cerita orangtuaku tiara diam cerita kakek doang dlu langsung doa bersih hey jin tiara kena tipu daya jin hemmm
"Sejujurnya ini kali yg ke 4 atau ke 5 kali sy ulang dengar cerita ini.... cerita yang sangat mengesankan  dan sukar untuk di lupakan.Sehinggakan sampai ke saat ini, tertanya2 apakah kesudahan cerita ini....",jujur kali kali ulang dengar cerita cerita kesan sukar lupakansehinggakan tanya sudah cerita
suka bngt lihat vdeo kakak satu ni,suka banget lihat vdeo kakak
"Itu pentingnya kalo mau tidur ambil air wudhu
Sebelum naik ke kasur
Bersihkan dulu kasur dg baca doa2 dan ayat kursi
Sebelum tidur jangan lupa baca doa
Insha Alloh tidur aman tdk di ganggu setan.....",kalo tidur ambil air wudhu kasur sih kasur dg baca doa ayat kursi tidur lupa baca doa insha alloh tidur aman ganggu setan
hayoo siapa yg nontonnya di taun 2025 sinii yoo merapatt,hayoo nontonnya taun sini yoo merapatt
ihh ini beneran gasii??😫 trus kalo emg beneran itu sekarang anak kembar nya gimana? trus sampe sekarang blm di kasih tau suami sm keluarganya ttg mimpi hubungan badan itu?? 😱😞😭,ihh beneran gasii kalo emg beneran anak kembar gimana sampe kasih tau suami keluarga ttg mimpi hubung badan
Aq mimpi sering di dekati laki laki.tpi setelah mimpi itu beberp hari dan ada laki laki yg mendekati aku.tpi bukan seneng sih aku ka.malah takut 😂krn aku udh punya suami 😅mkny klo dah mimpi begitu aku waspada.😢,mimpi dekat laki lakitpi mimpi beberp laki laki dekat akutpi neng kama takut suami mkny kalo mimpi waspada
"Bisa GK si Wak bawain nya biasa ajh,kag usah bacot2 biar enak di denger nya",si wak bawain ajhkag bacot biar enak denger
Sstuju banget knp tiara ga rukiyah aja karna kan beda alam ini pasti dicintai jin sih menurutku😢,sstuju banget tiara rukiyah karna beda alam cinta jin turut
Part2 dong kak Tiara biar di ceritakan sama kak Nadia omara😊,kak tiara biar cerita kak nadia omara
😢aku sedi😢,sedi
Kasian banget suaminya ya allah😢😢,kasi banget suami allah
Sumpah kek webtoon jadi nya wkwk,sumpah webtoon wkwk
"Sejauh ini Dari semua khw  
Ini yg pling menjadi favoritku😊",pling favorit
tiara nya bungul imannya lemah harusnya datang ke ruqiah,tiara bungul iman lemah ruqiah
setiap kali kakak berbicara ak bisa me imajinasi kanya seperti langsung melihat nya❤,kali kakak bicara ak me imajinasi kanya langsung
"aku jg pernah mimpi bginii tpi cowo ini naik kuda warna coklat, 3 hari berturut2 mimpi yg sama tapi cowo di mimpiku ini g bicara diem aja dia senyum
dan aku gtau tbtb aja g pernah mimpi lagi skrg kaya yauda smpe disitu aja🥲",mimpi bginii cowo kuda warna coklat mimpi cowo mimpi g bicara diem senyum gtau tbtb g mimpi yauda smpe situ
Jadi takut soalnya aku sering mimpi laki2 ganteng banget datengin aku,takut mimpi laki ganteng banget datengin
"Astaghfirullahalazim... Sukar dipercayai tapi tiada yang mustahil kan. Ya Allah, benar kah ini?? 🫨🫨",astaghfirullahalazim sukar percaya tiada mustahil allah
"""Tidak pernah ruqyah"", gua langsung mikir si tiara kesengsem sama pangeran itu, dan lebih milih si pangeran itu di banding suami sah nya sendiri, mana pas tau dia hamil kaya ga pernah merasa bersalah lagi",ruqyah gua langsung mikir si tiara kesengsem pangeran milih si pangeran banding suami sah pas tau hamil salah
Kak Nadia..cerita kali ini seru tapi diluar nalar..jadi kepingin tau lanjutannya..gimana hubungan Tiara dengan suaminya pasca melahirkan anak kembar dengan anak raja itu,kak nadiacerita kali seru luar nalarjadi kepingin tau lanjutannyagimana hubung tiara suami pasca lahir anak kembar anak raja
astagfirullahalaxim😢,astagfirullahalaxim
Maunya dicoba tes dna sih tir kata gw,mau coba tes dna tir gw
Tiara lupa kalo suaminya juga ada di mimpi yg sama,tiara lupa kalo suami mimpi
Pliss siapaun buat versi webtoon,tolong siapaun versi webtoon
mangkannya kalo tidur pasang alarm,mang kalo tidur pasang alarm
"aku juga pernah mimpi dekat sama cwo yg ga dikenal, berlanjut 3x berturutt",mimpi cwo kenal lanjut x berturutt
"Merinding bgt crtanyaaa, tapii seruu anjayyy",merinding banget crtanyaaa tapi seruu anjayyy
"Ga bisa move on, kak nad ga ada niat nanya kabar tiara gmna sekarang?",move on kak nad niat nanya kabar tiara gmna
"Sy jd teingat dg mimpiku,. 
Sy prna mimpi yg sama sbyk 3x...dg mimpi yg sama . Ada seorang lelaki itu  ngotot ingin menikah dgku. Bahkan orang tuanya juga minta sy menikah dg anak smata wayangnya dan mengancam akan membunuh swamiku agar sy bisa menikah dg anaknya. 
Sedangkan posisi sy sudah menikah.
Gara2 mimpi itu sy takut mau tidur,,, sy takut skali.. Tp selang 1 minggu , sy mimpi itu lg.. Dan kali ini sy tekatkan dlm diriku,, sy gak boleh takut , sy harus brani . Soalnya dlm mimpi itu seakan2 nyata. 
Di mimpiku kali ini.. Orang tua lelaki itu makin ganas , dy marah2 gak jelas, bahkan dy ngancam akan membunuh swamiku lg. 
Tp kali ini sy tantang balik mereka br3... Orang tua itupun makin marah dgku.. Dan berubah menjadi ular. 
Jujur sy takut skali... Tp di dlm mimpi sy harus kuat.. Sy ikhlas sy kalah dan meninggal disini asalkan sy bisa melawan mereka dan tdk menggangu swamiku. 
Di dlm mimpi itu sy ambil garam batu , sy baca sholawat dan sy lemparkan kemereka. 
Dan garam itu kena ke anaknya.. Dan anaknya itu lasung hilang. 
Hemb... Sy takut mau mengingatnya lg.. 🥲🥲",teingat dg mimpi prna mimpi sbyk xdg mimpi lelaki ngotot meni dgku orang tua meni dg anak smata wayang ancam bunuh swamiku meni dg anak posisi meni gara mimpi takut tidur takut skali selang minggu mimpi kali tekat diri takut brani mimpi akan nyata mimpi kali orang tua lelaki ganas dy marah dy ngancam bunuh swamiku kali tantang orang tua itu marah dgku ubah ular jujur takut skali mimpi kuat ikhlas kalah tinggal lawan menggangu swamiku mimpi ambil garam batu baca sholawat lempar mereka garam kena anak anak lasung hilang hemb takut ingat
Pliss banget aku baru nonton dari awal sampe akhir merinding bngt seolah olah bisa menggambarkan di dalam pikiranku 😮😮😮,tolong banget nonton sampe merinding banget olah gambar pikir
Perasaanq campur aduk mendengar kisah ini antara takut iri dan sedih entahlah aku juga ikut stres seperti tiara😅,perasaanq campur aduk dengar kisah takut iri sedih stres tiara
"intinya ngikutin KHW selalu bikin macu adrenalin dan cerita2nya benaran berasa nyatanya,, nyampai banget gimana horornya kisah kehidupan manusia di belahan muka bumi ini😂",inti ngikutin bikin macu adrenalin cerita benar asa nyampai banget gimana horor kisah hidup manusia bahan muka bumi
"Takutnya sih gini kak nad walaupun si kak Tiara ini GK ruqyah kemungkinan dia dibikin lupa kalau dia bisa memutuskan hubungan nya dengan si pria atau bisa jadi si kak Tiara ini diam,diam juga maaf ini spekulasi liar dan gila ku aja jangan di ambil hati. Bisa jadi si kak Tiara ini diam diam juga menantikan momen bertemu si pria dan menikmati nya karna ini juga menyangkut persoalan setan atau jin kak nadia",takut gin kak nad si kak tiara ruqyah bikin lupa putus hubung si pria si kak tiara diamdiam maaf spekulasi liar gila ku ambil hati si kak tiara diam diam momen temu si pria nikmat karna setan jin kak nadia
"Ihh penasaran sma wajh ank kembarnya, ya Allah semoga bukan jin jahat.",ihh penasaran wajh anak kembar allah moga jin jahat
"Assalamualaikum,kak Nadia ...biasanya ikut anak dengerin KHW sama anak q trs jadi ketagihan sikses selalu kak Nad❤",assalamualaikumkak nadia anak dengerin anak tagih sikses kak nad
"Bener nih, sering nya cetita kaya gini Jin nya ganteng asli nya genderuwo atau buto ijo.. ngeri banget",bener cetita gin jin ganteng asli genderuwo buto ijo ngeri banget
kak nad aku udaa nonton smua khw sampe akhirnya ku ulang' yang udah d tonton pun 😭,kak nad udaa nonton smua sampe ku ulang tonton
seru bgt kalo kak nadia bawain ceritanya hehe,seru banget kalo kak nadia bawain cerita hehe
Ini masih gantung ga si ka nadd... Soalny kynya blm tau drmana sosok itu dan knp bisa tau si tiara bahkan dr msh kecil. Mksdny kaya asal usul ny si sosok yg lbh jls lg gitu lhoo🙏🤏,gantung si kakak nadd soalny kynya tau drmana sosok tau si tiara msh mksdny usul ny si sosok lbh jls lhoo
Itu benar permah  terjadi pada diriku sejak kelas dua sd . Berapa kali aku di ajak  ke kota dunia mereka yg sangat mewah. Dan sekarang mereka menjumpai  aku kala aku sakit.,mah diri kelas sd kali ajak kota dunia mewah jumpa sakit
ceritanya hampir sama yang kayak aku alamin🥺,cerita alamin
"SERUUU ANJIRR, baru nonton sekarang 😭",seruuu anjirr nonton
Dia berselikuh weee astagfirullah ke bukkan nyata 😅😅😅,berselikuh weee astagfirullah buk nyata
Itu anaknya Tiara mirip genderuwo?,anak tiara genderuwo
Takut bngetttt 😭😭😭😭😭,takut bngetttt
"Manggu❌
Mang goib ✅",manggu mang goib
Cerita kita sulit dj cerna tak lagi sama cara berdoa,cerita sulit dj cerna doa
😢 secinta itu ya sosok itu....di dunia nyata mana adaaa😭,cinta sosok itudi dunia nyata adaaa
"""mangu"" tapi bukan beda agama tapi beda ""ALAM"" 😊 tapi emang kisah emang epic bangat bisa gk si di buat film gk sih...",mangu beda agama beda alam emang kisah emang seru bangat si film
Aku pernah jugak mimpi kek gini sampai hubungan badan alhamdulillah aku udah di rukiah sampe sekarang aku udah gk mimpi lagi😭,jugak mimpi gin hubung badan alhamdulillah rukiah sampe mimpi
"Aku jga dlu srg mimpi pria ganteng yg ga ku knal, srg bawak aku ke laut yg indah banget, dn dia bilang ga mau pergi dari aku..
Tapi aku sllu mengusir nya, sambil bilang aku ga knal sama mu, pergilah dn jgn ganggu aku lagi.
Dn mudah² an skrg aku ga prnh mimpi dia lagi,",jga dlu srg mimpi pria ganteng ku knal srg bawak laut indah banget dn bilang pergi sllu usir bilang knal mu pergi dn jgn ganggu dn mudah an mimpi
Y,y
"Aku mengalami itu kak nad sampe sekarang bedanya, aku mimpi di kejar ular trus ular itu malah di patuknya orang lain nah orang yg aku liat di mimpiku besoknya meninggal, sampe sekarang aku cuma diem terganggu tidurku terganggu sekali udah kuupacarai ga ada habisnya",alami kak nad sampe beda mimpi kejar ular ular patuk orang orang lihat mimpi besok tinggal sampe diem ganggu tidur ganggu upacara habis
"Hai kak aku prnh mimpi kek gini tapi di mimpi itu aku berhubungan badan berturut turut smpe seperti merasakan kenikmatan itu pdhl aku mimpi,setelah dri situ aku tidak mimpi lagi tapi aku malah mimpi menikah di dlm kamarku dgn lelaki gemuk badan nya besar dan akhirnya aku mengambil cincin yg dia kasih setelah dri situ aku cerita sama orang tua ku aku takuttt😭",hai kak mimpi gin mimpi hubung badan smpe rasa nikmat mimpisetelah situ mimpi mimpi meni kamar lelaki gemuk badan ambil cincin kasih situ cerita orang tua ku takuttt
"mbak tiara knpa kali kau gak gercep datang ke ustadz atau orang yang mengerti agama waktu kau awal mimpi di datangi pria itu, knp kek betah kali kau wak😢 kasian aku denger crita nya😢",mbak tiara knpa kali kau gercep ustadz orang erti agama kau mimpi datang pria betah kali kau wak kasi denger cerita
"kok aku pernah denger cerita semacam ini di rjl 5. tapi orang indo yang ngalamin. mirip tapi bedanya, 3 anak itu hidup di dunia nyata dan mirip lelaki yg dimimpikan. 
nah terus yg dimimpikan nya selama ini itu berhubungan badan, gak cuma ngajak pergi doang.",denger cerita rjl orang indo ngalamin beda anak hidup dunia nyata lelaki mimpi mimpi hubung badan ngajak pergi doang
Sampe aku bayangin istananya dong..,sampe bayangin istana
SULIT DICERNA TAK LAGI SAMA CARA BERDOA🙇,sulit cerna doa
seremmm ih di sukainnn jin🥲🥲🥲🥲,seremmm ih sukainnn jin
ihh aku pernah mimpi kayak gini tapi kayak cuma pacaran doang. dan mimpinya udah berkali-kali dengan jarak yang agak lama😮😢,ihh mimpi gin pacar doang mimpi berkalikali jarak
"Gimana gimana? Umur tiara skrg 28thn (2023), tahun 2003 udh 10 tahun, tiara bs skip ultahnya ato tiara pembohong?",gimana gimana umur tiara tiara bs skip ultahnya ato tiara bohong
"Baru dengerin cerita tiara ini yg jadi pertanyaanku apakah tiara sama sekali tdk ada rasa curiga bahwa yg dia mimpikan itu jin, jin dan manusia tdk bs bersatu krn beda alam, salah satu cara mutusin hubungan itu ya di ruqyah syar'iyyah, mendekat pada Allah (sholat 5 waktu, sunnah, zikiri pagi sore baca qur'an), semuanya istiqomah. Bs juga dgn pendekatan psikologi kayak ustadz faizar. Kmren kayak ada di podcast densu kayak tiara ini dia juga di cintai jin dan sampai melakukan hubungan suami istri juga waktu di ruqyah kluar tanah. Coba deh tiara kamu ber obat apa ga kasihan sama suami dan anak2mu, masalah anak biar lbh yakin tes dna aja aku yakin itu anak suaminya (jangan mau di tipu daya jin/syaitan) jika dia baik pasti dia akan merelakan kamu nikah dgn sesama manusia",dengerin cerita tiara tanya tiara curiga mimpi jin jin manusia bs satu beda alam salah mutusin hubung ruqyah syariyyah dekat allah sholat sunnah zikir pagi sore baca quran istiqomah bs dekat psikologi ustadz faizar kmren podcast densu tiara cinta jin hubung suami istri ruqyah kluar tanah coba deh tiara ber obat kasihan suami anak anak biar lbh tes dna anak suami tipu daya jinsyaitan rela nikah manusia
Nonton lagi dan masih seru. Kalo dibuat film seru bgt nih,nonton seru kalo film seru banget
"Itu jin, bahaya nanti di Akhirat",jin bahaya akhirat
"Yaa Allah ,,demi Allah ini memng aneh KK nad,,aku jga pernah mengalami mimpi TPI seolah"" nyata TPI jujur aku jga terheran"" knpa aku mimpi gitu,,d dlm mimpiku aku bertemu dengn lki"" tmpan bngeet umur,nya kisaran 20/ 22 an dan pda waktu itu umurku sdah 27   an,,dia 3 kli Dateng ke mimpiku dan dia berulang"" kli ingin menikahi ku,,TPI d situ aku tak mauu,,karna aku tak mengenal siapa dia,,d dlm mimpi itu aku menolak Trang""an dia dan dia kelihatan skli kecewanya,,TPI anehnya d dunia nyatapun aku pernah menolak 3 kli lamaran seorang pria,,karna dia msih terlalu mudah tuk ukuran aku KK nad,, dan knpa aku anggap mimpi itu aneh,,karna waktu aku menolak orang yg melamarku d dlm mimpi dan dia berkata aku akan jdi prawan tua ,,dan ternyata kata"" yg d ucapkan dia bner,,jujur aku menikah d usiaku yg sdah berkepala 30 an mla 31 lbih 6 bulan,,,jujur d saat aku blm menemukan jodoh aku selalu teringeet akan kata"" laki"" yg ada dlm mimpiku itu,,dan sejujurnya aku menemukan jodoh setelah aku d mandikan sama orang pinter yg mengerti akan hal goib,,,dan apa kaya beliau,,,jodohnya d kawinkan d batu nisan,,,yaa Allah memng bnar kak nad pernah ada seorang pinter yg bilng ke ibuku klu aku hrus d rukiah,,TPI ibuku tak percya akan hal aneh"" ,,menurut orang pintar klu d lihat wajah aku seperti nenek umur 70 atau 80 Thun kak nad,,,itah mengapa aku percya akan mimpi yg Tiara alami,,
Maaf aku jdi bnyak cerita dan maaf jga aku Bru mengikuti KK nadia Bru seminggu yg lalu,,,jujur aku sukaa bngeet SMA canel kak Nadia,,,trima ksih sdah menyuguhkan cerita"" yg sangat menarik dan kak Nadia membwaka
nnya tidak membosankan,,trima ksih jga tuk ceritanya tentang misteri karna aku suka bngeet,,,trima ksih semoga KK sehat selalu dan dlm lindungan Allah SWT,,,🙏🙏",allah allah memng aneh kakak nada jga alami mimpi nyata jujur jga heran knpa mimpi gitud mimpi temu dengn lki tmpan bngeet umur kisar an pda umur sdah andia kli dateng mimpi ulang kli nikah kutpi situ mauukarna kenal diad mimpi tolak trangan skli kecewanyatpi aneh dunia nyata tolak kli lamar priakarna msih mudah tuk ukur kakak nad knpa anggap mimpi anehkarna tolak orang lamar mimpi prawan tua ucap bnerjujur meni usia sdah kepala an mla lbih bulanjujur temu jodoh teringeet laki mimpi itudan jujur temu jodoh mandi orang pinter erti goibdan beliaujodohnya kawin batu nisanyaa allah memng bnar kak nad pinter bilng ibu klu hrus rukiahtpi ibu percya aneh orang pintar klu lihat wajah nenek umur kak nadi percya mimpi tiara alami maaf bnyak cerita maaf jga bru ikut kakak nadia bru minggu lalujujur sukaa bngeet canel kak nadiatrima ksih sdah suguh cerita tarik kak nadia membwaka nnya membosankantrima ksih jga tuk cerita misteri karna suka bngeettrima ksih moga kakak sehat lindung allah swt
Dunya kita berbeda,dunya beda
Tiara menikah dg seorg dari dunia bunian.di Malaysia emang sering terjdi kisah seperti ini😊,tiara meni dg seorg dunia buniandi malaysia emang terjdi kisah
romantis kali aku suka kali kak nadia,romantis kali suka kali kak nadia
Hrus ada part2 hikssss,hrus hikssss
"Tiaraa astagfirullah ko mw sampe diajak "".....""semoga kita dijauhkan dari tipu muslihat jin dan setan yg sungguh sangat dahsyat kita semua pasti selalu berada dibawah perlindungan Allah yg maha esa.aamiin",tiaraa astagfirullah ko mw sampe ajak moga jauh tipu muslihat jin setan sungguh dahsyat bawah lindung allah maha esaaamiin
Seru bngt klau nadia cerita,seru banget klau nadia cerita
Lebih sakit cinta beda alam ketimbang beda agama,sakit cinta beda alam ketimbang beda agama
Ternyata lebih berat cinta beda alam ketimbang beda agama,berat cinta beda alam ketimbang beda agama
Bagus kalo dibuat film,bagus kalo film
